t,V,x
3.3899999999999717,-3.5718102668610006,0.49797471041985764
3.3999999999999715,-3.671405208944972,0.4622566077512476
3.4099999999999713,-3.7638565304952216,0.4255425556617979
3.419999999999971,-3.848965041627581,0.38790399035684564
3.429999999999971,-3.9265458396989503,0.3494143399405698
3.4399999999999706,-3.9964287076870644,0.3101488815435803
3.4499999999999704,-4.05845848399578,0.2701845944667096
3.45999999999997,-4.112495402889122,0.2296000096267518
3.46999999999997,-4.158415404814472,0.1884750555978606
3.47999999999997,-4.1961104159340445,0.14689090154971587
3.4899999999999696,-4.225488596243988,0.10492979739037542
3.4999999999999694,-4.246474555722063,0.06267491142793555
3.509999999999969,-4.25900953800765,0.02021016587071492
3.519999999999969,-4.2630515711817925,-0.02237992950936158
3.5299999999999687,-4.25857558527992,-0.0650104452211795
3.5399999999999685,-4.245573496235684,-0.10759620107397871
3.5499999999999683,-4.224054256020888,-0.15005193603633554
3.559999999999968,-4.194043868813621,-0.19229247859654441
3.569999999999968,-4.155585373094312,-0.23423291728468063
3.5799999999999677,-4.108738789637376,-0.27578877101562377
3.5899999999999674,-4.0535810354342505,-0.3168761589119975
3.5999999999999672,-3.990205803651851,-0.35741196926634
3.609999999999967,-3.918723409798583,-0.39731402730285853
3.619999999999967,-3.8392606043380115,-0.43650126140084433
3.6299999999999666,-3.751960352057843,-0.47489386744422446
3.6399999999999664,-3.656981578568998,-0.5124134709648029
3.649999999999966,-3.5544988843760374,-0.5489832867504929
3.659999999999966,-3.444702227025939,-0.5845282755942532
3.6699999999999657,-3.327796571907088,-0.6189752978645127
3.6799999999999655,-3.2040015123341856,-0.6522532635835836
3.6899999999999653,-3.0735508596174688,-0.6842932787069255
3.699999999999965,-2.936692203876084,-0.7150287873031002
3.709999999999965,-2.793686446415464,-0.744395709341861
3.7199999999999647,-2.6448073045470917,-0.7723325738060156
3.7299999999999645,-2.4903407897858885,-0.7987806468514865
3.7399999999999642,-2.330584660415591,-0.8236840547493454
3.749999999999964,-2.165847849465722,-0.8469899013535013
3.759999999999964,-1.9964498691950219,-0.8686483798481585
3.7699999999999636,-1.8227201932253903,-0.8886128785401087
3.7799999999999634,-1.6449976175173684,-0.9068400804723626
3.789999999999963,-1.4636296014228958,-0.9232900566475363
3.799999999999963,-1.2789715900933885,-0.9379263526617653
3.8099999999999627,-1.0913863195610354,-0.9507160685626992
3.8199999999999625,-0.9012431058484955,-0.9616299317583096
3.8299999999999623,-0.7089171194968336,-0.9706423628167945
3.839999999999962,-0.5147886469334746,-0.9777315340117628
3.849999999999962,-0.319242340131122,-0.9828794204810976
3.8599999999999617,-0.1226664560349025,-0.9860718438824088
3.8699999999999615,0.07454791274157926,-0.9872985084427578
3.8799999999999613,0.27200761443013083,-0.9865530293153421
3.889999999999961,0.46931822029319925,-0.9838329531710408
3.899999999999961,0.6660848109274075,-0.9791397709681088
3.9099999999999606,0.8619127651210292,-0.9724789228588347
3.9199999999999604,1.0564085496927962,-0.9638597952076244
3.92999999999996,1.249180508734321,-0.9532957097106964
3.93999999999996,1.4398396506764604,-0.9408039046233532
3.9499999999999598,1.628000431601131,-0.9264055081165886
3.9599999999999596,1.8132815332244487,-0.9101255038005773
3.9699999999999593,1.9953066339845642,-0.8919926884683328
3.979999999999959,2.1737051716782307,-0.8720396221284872
3.989999999999959,2.348113096103928,-0.8503025704117049
3.9999999999999587,2.518173610186269,-0.8268214394506656
4.009999999999959,2.683537898076402,-0.8016397033488029
4.019999999999959,2.8438658387461624,-0.7748043243680388
4.0299999999999585,2.99882670361977,-0.7463656659805772
4.039999999999958,3.1480998368158857,-0.7163773989443795
4.049999999999958,3.2913753166047615,-0.6848964005762206
4.059999999999958,3.4283545967200055,-0.651982647410173
4.069999999999958,3.55875112620204,-0.6176991014429729
4.079999999999957,3.6822909464906344,-0.5821115901809525
4.089999999999957,3.7987132645268247,-0.5452886807160462
4.099999999999957,3.907771000670034,-0.507301548070778
4.109999999999957,4.00923131028419,-0.46822383806407764
4.119999999999957,4.1028760778970055,-0.42813152496123574
4.129999999999956,4.1885023828892525,-0.3871027641822657
4.139999999999956,4.265922935725706,-0.34521774035337316
4.149999999999956,4.33496648379638,-0.3025585109961161
4.159999999999956,4.395478185995604,-0.25920884615815226
4.1699999999999555,4.4473199552272344,-0.2152540642981962
4.179999999999955,4.490370768086874,-0.17078086474592385
4.189999999999955,4.524526941036059,-0.12587715706505512
4.199999999999955,4.54970237244907,-0.08063188765469453
4.209999999999955,4.5658287499800085,-0.03513486393020383
